序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期,卫星,小时,星期,月份,时间戳,季节_春季,半长轴_经度,控制状态_encoded,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,预测控制状态
72,2024-04-04 18:27:19,-3049.804914367803,-0.5005685398027732,-1.0505329327717783,0.0,2024-04-04,59020,-2.1171145281754464,-1.51958432294313,-2.0949516654869216,-45.72192334738871,True,-0.021083971438282015,0,0.12258801065894948,1.5238795150057325,1.054513902995525,-0.18044370571956744,-0.15537141451734224,0.5852677557285924,0.13279105467026986,-0.35692952197038186,1607.5069771425592,-252.5409803518726,-422.9144330257043,48.53020693528416,94.6306203025966,221.48474656280234,-1487.6749030542856,-2050.1606163864126,0.0
74,2024-04-05 14:28:50,-3049.8041866870894,-0.5005847604879773,-1.0505329327717783,0.0,2024-04-05,59020,-2.225860346621565,-1.2693361843909508,-2.0949516654869216,-45.721923347333956,True,-0.01233318014441702,0,0.06426952386622412,1.0907162673643302,1.1804668163473975,0.2436023316870216,-0.4305443204354302,0.47133450666972426,0.49463860668688747,-0.6381233184725734,1607.5029594777732,-252.61012581393715,-422.89045835864164,48.7264968272962,94.47512668747736,221.4584935617351,-1487.6153406441313,-2050.2076268318083,0.0
76,2024-04-06 15:23:01,-3049.8033303151783,-0.5005890081305839,-1.0505329327717783,0.0,2024-04-06,59020,-2.1986738920100355,-1.0190880458387717,-2.0949516654869216,-45.72192334726585,True,-0.002074173648171782,0,0.07756531448712183,1.2103757361779102,1.1638390232519287,0.6083783192101574,-0.7724523427912612,0.47350893613513684,0.4077466689844391,-0.5646585970313781,1607.5118707901217,-252.58838719133524,-422.88979345052894,48.913020784395314,94.30860968396945,221.45133872658073,-1487.6296012171078,-2050.1956627677723,0.0
79,2024-04-07 15:08:11,-3049.8026010650597,-0.5005915434422649,-1.0505329327717783,3.0,2024-04-07,59020,-2.1986738920100355,-0.7688399072865925,-2.0949516654869216,-45.72192334720091,True,0.006655801782110459,2,0.07629932398598113,1.2197150285732703,1.1752075147458396,0.9850213795732919,-1.1009488230795756,0.45256771933144535,0.40979509561526145,-0.5637205574877158,1607.517226655876,-252.58469597664129,-422.8847019604947,49.10150038101219,94.1443300585209,221.44038002009782,-1487.6294841340439,-2050.19608804739,0.0
83,2024-04-08 18:01:04,-3049.8019178508175,-0.500579822603447,-1.0505329327717783,3.0,2024-04-08,59020,-2.1171145281754464,-2.2703287385996673,-2.0949516654869216,-45.7219233471274,True,0.014851610601513448,2,0.13932682959401269,1.4968733700071342,1.0524629672269525,-1.3115505866180943,0.8260928993508664,0.6532052625732072,0.17890012231595814,-0.2869179533913815,1607.5399860686907,-252.55848108662153,-422.91784345696516,47.964637312939445,95.12179793667347,221.51681699233458,-1487.6555285872078,-2050.129284635529,0.0
85,2024-04-09 14:22:44,-3049.8013737904707,-0.5005960300147682,-1.0505329327717783,3.0,2024-04-09,59020,-2.225860346621565,-2.0200806000474882,-2.0949516654869216,-45.72192334707172,True,0.02133722333026322,2,0.08045380284625164,1.063764304181863,1.1777020316533826,-0.8874609885432647,0.5510516654772106,0.5395206994323919,0.538886750967755,-0.5707974666188737,1607.5341760770302,-252.6273922035761,-422.89430046930977,48.16093190684358,94.96636474334241,221.490592928786,-1487.596683180671,-2050.177387072472,0.0
90,2024-04-10 21:26:31,-3049.816945425351,-0.5005636417398923,-1.0505329327717783,3.0,2024-04-10,59020,-2.035555164340858,-1.7698324614953092,-2.0949516654869216,-45.72192334698679,True,-0.16551424866485714,2,0.13471683313459532,1.8516636254624184,0.9239820802635232,-0.5899359266140847,0.14083914812909523,0.7013555484599788,-0.25207940154168995,-0.3120529182113154,1607.4014495777144,-252.47603638584582,-422.959581280064,48.33615655112801,94.79193920324684,221.50893491627673,-1487.7627061666753,-2050.1908646789757,0.0
93,2024-04-11 20:36:12,-3049.816464664334,-0.5005610798804451,-1.0505329327717783,3.0,2024-04-11,59020,-2.0627416189523875,-1.51958432294313,-2.0949516654869216,-45.721923346923454,True,-0.1597841398309153,2,0.11858037314084058,1.750906408998896,0.962815016700294,-0.20140605102983264,-0.17416707166883713,0.6574806003489249,-0.1621332036299716,-0.38551602532319995,1607.4020877554856,-252.49023845906632,-422.9503447890998,48.52659477154955,94.62993617473825,221.49419124454315,-1487.7486759878177,-2050.2043910129187,0.0
95,2024-04-12 15:29:02,-3049.816017383953,-0.5005909062958738,-1.0505329327717783,3.0,2024-04-12,59020,-2.1986738920100355,-1.2693361843909508,-2.0949516654869216,-45.721923346871826,True,-0.15395333765186414,2,0.04548430894808131,1.2065710070289712,1.1166360435864529,0.2345840653188983,-0.43579854542000523,0.520642022929801,0.2864305101227372,-0.7407826459113183,1607.3934334010128,-252.57730029102493,-422.92220929077087,48.7248443319805,94.4767186420352,221.46415580983114,-1487.6752052410764,-2050.264483173019,0.0
98,2024-04-13 18:27:46,-3049.815389622014,-0.5005681415862787,-1.0505329327717783,0.0,2024-04-13,59020,-2.1171145281754464,-1.0190880458387717,-2.0949516654869216,-45.72192334679806,True,-0.1467724420661512,0,0.08664160768037378,1.5486720822796112,1.0412469550439873,0.5756592371271437,-0.8042390107137656,0.5695780328980147,0.01830839302474716,-0.5303336968368938,1607.4045966001092,-252.51881174864744,-422.9315740964704,48.9074685695177,94.30588939569373,221.46468532890066,-1487.720137888442,-2050.2306996323236,0.0
