序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 10:11:13,42149.9294,76.3912,0,0,2020-07-01
2,2020-07-01 20:31:33,42149.9342,76.844,0,0,2020-07-01
3,2020-07-01 22:14:50,42149.935,76.4064,0,0,2020-07-01
4,2020-07-02 20:38:43,42149.9468,76.9801,0,0,2020-07-02
5,2020-07-02 22:35:45,42149.9476,76.5119,0,0,2020-07-02
6,2020-07-03 20:45:50,42149.9608,77.1155,0,0,2020-07-03
7,2020-07-04 08:49:30,42149.9681,77.2802,0,0,2020-07-04
8,2020-07-04 20:53:07,42149.9762,77.2496,0,0,2020-07-04
9,2020-07-05 09:09:12,42149.984,77.3448,0,0,2020-07-05
10,2020-07-05 20:47:58,42149.9927,77.4387,0,0,2020-07-05
11,2020-07-06 08:58:57,42150.0008,77.5595,0,0,2020-07-06
12,2020-07-06 21:02:37,42150.0101,77.5403,0,0,2020-07-06
13,2020-07-07 00:36:09,42150.0123,77.2415,0,0,2020-07-07
14,2020-07-07 21:14:36,42150.0277,77.6556,0,0,2020-07-07
15,2020-07-08 08:59:42,42150.0359,77.8822,0,0,2020-07-08
16,2020-07-08 21:21:48,42150.0457,77.7935,0,0,2020-07-08
17,2020-07-09 09:25:27,42150.0543,77.9239,0,0,2020-07-09
18,2020-07-09 21:29:02,42150.0639,77.9335,0,0,2020-07-09
19,2020-07-10 09:32:38,42150.0728,78.0578,0,0,2020-07-10
20,2020-07-10 19:52:56,42150.0812,78.5106,0,0,2020-07-10
21,2020-07-10 21:36:13,42150.0824,78.0766,0,0,2020-07-10
22,2020-07-11 20:00:07,42150.1,78.6442,0,0,2020-07-11
23,2020-07-11 22:28:28,42150.1017,78.1146,0,0,2020-07-11
24,2020-07-12 20:07:24,42150.119,78.7762,0,0,2020-07-12
25,2020-07-13 08:10:55,42150.1286,78.936,0,0,2020-07-13
26,2020-07-13 20:14:31,42150.1389,78.9088,0,0,2020-07-13
27,2020-07-14 20:21:46,42150.1591,79.0407,0,0,2020-07-14
28,2020-07-15 08:25:18,42150.1692,79.1865,0,0,2020-07-15
29,2020-07-15 20:20:42,42150.1798,79.2094,0,0,2020-07-15
30,2020-07-16 18:58:34,42150.2003,79.7291,0,0,2020-07-16
31,2020-07-16 20:36:05,42150.2017,79.3085,0,0,2020-07-16
32,2020-07-17 13:44:36,42150.2174,79.5771,0,0,2020-07-17
33,2020-07-17 19:00:00,42150.2224,79.8888,0,0,2020-07-17
34,2020-07-18 08:46:53,42150.2356,79.5706,0,0,2020-07-18
35,2020-07-18 20:50:30,42150.2473,79.5839,0,0,2020-07-18
36,2020-07-19 07:30:42,42150.2577,80.0994,0,0,2020-07-19
37,2020-07-19 19:36:42,42150.27,80.0578,0,0,2020-07-19
38,2020-07-20 07:44:42,42150.2821,80.1895,0,0,2020-07-20
39,2020-07-20 22:52:42,42150.298,79.7587,0,0,2020-07-20
40,2020-07-21 07:55:42,42150.3076,80.2948,0,0,2020-07-21
41,2020-07-22 07:45:42,42150.333,80.5035,0,0,2020-07-22
42,2020-07-22 19:36:00,42150.3465,80.5489,0,0,2020-07-22
43,2020-07-23 19:43:10,42150.3739,80.6797,0,0,2020-07-23
44,2020-07-24 19:50:21,42150.4025,80.8114,0,0,2020-07-24
45,2020-07-25 19:57:36,42150.433,80.9443,0,0,2020-07-25
46,2020-07-26 20:04:49,42150.4652,81.079,0,0,2020-07-26
47,2020-07-27 20:11:54,42150.4994,81.2168,0,0,2020-07-27
48,2020-07-28 18:35:52,42150.533,81.7821,0,0,2020-07-28
