序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 03:34:21,42251.2059,-59.8972,0,0,2020-07-01
2,2020-07-01 06:05:05,42251.2152,-60.48,0,0,2020-07-01
3,2020-07-02 06:11:59,42251.3267,-61.6245,0,0,2020-07-02
4,2020-07-03 06:18:49,42251.4406,-62.7706,0,0,2020-07-03
5,2020-07-03 18:22:07,42251.4944,-63.2968,0,0,2020-07-03
6,2020-07-04 06:25:34,42251.5496,-63.9169,0,0,2020-07-04
7,2020-07-04 18:29:02,42251.606,-64.4488,0,0,2020-07-04
8,2020-07-05 06:32:26,42251.6601,-65.0653,0,0,2020-07-05
9,2020-07-06 06:05:42,42251.7683,-66.0373,0,0,2020-07-06
10,2020-07-07 08:52:04,42251.8903,-67.8348,0,0,2020-07-07
11,2020-07-07 18:49:31,42251.9385,-67.9108,0,0,2020-07-07
12,2020-07-08 06:52:51,42251.992,-68.5177,0,0,2020-07-08
13,2020-07-08 18:56:12,42252.0399,-69.0653,0,0,2020-07-08
14,2020-07-09 06:59:43,42252.0907,-69.6698,0,0,2020-07-09
15,2020-07-10 07:06:32,42252.1932,-70.823,0,0,2020-07-10
16,2020-07-11 08:03:40,42252.2958,-72.1888,0,0,2020-07-11
17,2020-07-13 07:26:57,42252.4821,-74.2861,0,0,2020-07-13
18,2020-07-14 07:33:44,42252.5742,-75.4412,0,0,2020-07-14
19,2020-07-14 19:37:10,42252.621,-76.0138,0,0,2020-07-14
20,2020-07-15 07:34:32,42252.6779,-76.5729,0,0,2020-07-15
21,2020-07-16 06:04:09,42252.745,-77.2397,0,0,2020-07-16
22,2020-07-18 06:17:49,42252.9042,-79.5669,0,0,2020-07-18
23,2020-07-19 06:24:40,42252.9831,-80.7325,0,0,2020-07-19
24,2020-07-21 06:38:19,42253.1299,-83.0656,0,0,2020-07-21
25,2020-07-22 06:45:09,42253.1979,-84.233,0,0,2020-07-22
26,2020-07-23 06:51:58,42253.2615,-85.4006,0,0,2020-07-23
27,2020-07-24 09:58:01,42253.3275,-87.0462,0,0,2020-07-24
28,2020-07-25 07:05:32,42253.3847,-87.7375,0,0,2020-07-25
29,2020-07-26 07:12:18,42253.4408,-88.906,0,0,2020-07-26
30,2020-07-27 07:19:11,42253.4924,-90.075,0,0,2020-07-27
31,2020-07-28 07:25:56,42253.5439,-91.2436,0,0,2020-07-28
32,2020-07-29 07:32:45,42253.593,-92.4124,0,0,2020-07-29
33,2020-07-30 07:33:29,42253.6409,-93.5538,0,0,2020-07-30
34,2020-07-31 09:47:01,42253.6879,-95.0249,0,0,2020-07-31
35,2020-08-01 09:53:30,42253.7212,-96.1642,0,0,2020-08-01
36,2020-08-02 04:58:42,42253.7508,-96.2078,0,0,2020-08-02
37,2020-08-02 10:05:39,42253.7601,-97.3001,0,0,2020-08-02
38,2020-08-03 09:35:26,42253.7905,-98.4477,0,0,2020-08-03
39,2020-08-04 08:03:02,42253.8139,-99.3769,0,0,2020-08-04
40,2020-08-05 07:59:05,42253.8359,-100.5021,0,0,2020-08-05
41,2020-08-06 09:06:46,42253.8508,-101.8434,0,0,2020-08-06
42,2020-08-07 11:13:27,42253.8666,-102.8871,0,0,2020-08-07
43,2020-08-08 08:03:28,42253.8736,-103.944,0,0,2020-08-08
44,2020-08-09 07:08:16,42253.8739,-104.8303,0,0,2020-08-09
45,2020-08-10 05:15:51,42253.8731,-105.4077,0,0,2020-08-10
46,2020-08-10 08:01:08,42253.8748,-106.2182,0,0,2020-08-10
47,2020-08-11 05:34:58,42253.8798,-106.6361,0,0,2020-08-11
48,2020-08-11 09:37:07,42253.8725,-107.5966,0,0,2020-08-11
49,2020-08-12 10:02:27,42253.8581,-108.7424,0,0,2020-08-12
50,2020-08-13 10:38:23,42253.8424,-109.8464,0,0,2020-08-13
51,2020-08-14 07:49:10,42253.8215,-110.7319,0,0,2020-08-14
52,2020-08-15 06:58:46,42253.7995,-111.6255,0,0,2020-08-15
53,2020-08-15 08:37:00,42253.7998,-112.0541,0,0,2020-08-15
54,2020-08-16 08:06:29,42253.7615,-113.085,0,0,2020-08-16
55,2020-08-17 07:48:02,42253.7381,-114.1469,0,0,2020-08-17
56,2020-08-18 07:40:20,42253.6978,-115.2499,0,0,2020-08-18
57,2020-08-19 08:22:22,42253.6524,-116.5634,0,0,2020-08-19
58,2020-08-20 06:36:01,42253.6059,-117.1967,0,0,2020-08-20
59,2020-08-21 08:29:57,42253.5591,-118.8656,0,0,2020-08-21
60,2020-08-22 10:08:49,42253.498,-120.1557,0,0,2020-08-22
61,2020-08-23 10:25:02,42253.4436,-121.2824,0,0,2020-08-23
62,2020-08-24 07:25:24,42253.3816,-121.9951,0,0,2020-08-24
63,2020-08-25 10:39:29,42253.3148,-123.5377,0,0,2020-08-25
64,2020-08-26 11:21:51,42253.246,-124.578,0,0,2020-08-26
65,2020-08-27 08:15:35,42253.1883,-125.6221,0,0,2020-08-27
66,2020-08-28 10:53:54,42253.1156,-126.9208,0,0,2020-08-28
67,2020-08-29 08:48:09,42253.0375,-127.9975,0,0,2020-08-29
68,2020-08-29 15:06:16,42253.0206,-127.2644,0,0,2020-08-29
69,2020-08-30 12:23:25,42252.9535,-128.9013,0,0,2020-08-30
70,2020-08-31 09:00:21,42252.8831,-130.2926,0,0,2020-08-31
71,2020-08-31 10:12:37,42252.8786,-130.3702,0,0,2020-08-31
72,2020-09-01 07:07:40,42252.8014,-130.9548,0,0,2020-09-01
73,2020-09-02 08:43:48,42252.7039,-132.5022,0,0,2020-09-02
74,2020-09-03 11:27:04,42252.5996,-133.6302,0,0,2020-09-03
75,2020-09-04 08:19:38,42252.5122,-134.6687,0,0,2020-09-04
76,2020-09-05 03:14:43,42252.4294,-134.7241,0,0,2020-09-05
