序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 14:01:21,42257.2214,-136.916,0,0,2020-07-01
2,2020-07-02 14:04:11,42257.1188,-138.1169,0,0,2020-07-02
3,2020-07-03 00:47:04,42257.0695,-138.1033,0,0,2020-07-03
4,2020-07-03 13:54:11,42257.0129,-139.2282,0,0,2020-07-03
5,2020-07-04 00:53:51,42256.9655,-139.3369,0,0,2020-07-04
6,2020-07-04 11:52:40,42256.9159,-139.5038,0,0,2020-07-04
7,2020-07-05 11:36:00,42256.8088,-140.5774,0,0,2020-07-05
8,2020-07-06 01:07:28,42256.7499,-141.8006,0,0,2020-07-06
9,2020-07-06 11:54:00,42256.6977,-141.868,0,0,2020-07-06
10,2020-07-06 14:07:59,42256.6901,-142.8573,0,0,2020-07-06
11,2020-07-07 11:49:17,42256.5884,-143.0136,0,0,2020-07-07
12,2020-07-07 16:20:16,42256.57,-144.5047,0,0,2020-07-07
13,2020-07-08 11:39:34,42256.4762,-144.128,0,0,2020-07-08
14,2020-07-08 13:39:59,42256.4672,-145.0086,0,0,2020-07-08
15,2020-07-09 01:27:53,42256.4105,-145.4845,0,0,2020-07-09
16,2020-07-09 13:31:09,42256.3536,-146.1149,0,0,2020-07-09
17,2020-07-10 11:34:16,42256.2397,-146.4423,0,0,2020-07-10
18,2020-07-10 13:37:59,42256.2372,-147.3375,0,0,2020-07-10
19,2020-07-11 13:35:08,42256.112,-148.4849,0,0,2020-07-11
20,2020-07-12 11:43:20,42255.9987,-148.8357,0,0,2020-07-12
21,2020-07-13 01:55:00,42255.9291,-150.3683,0,0,2020-07-13
22,2020-07-13 14:03:49,42255.8654,-151.0281,0,0,2020-07-13
23,2020-07-13 15:13:38,42255.8603,-151.421,0,0,2020-07-13
24,2020-07-14 11:44:03,42255.756,-151.1742,0,0,2020-07-14
25,2020-07-14 14:05:12,42255.7428,-152.2032,0,0,2020-07-14
26,2020-07-15 12:28:52,42255.625,-152.6408,0,0,2020-07-15
27,2020-07-15 14:12:00,42255.6179,-153.4137,0,0,2020-07-15
28,2020-07-16 12:58:28,42255.499,-154.0269,0,0,2020-07-16
29,2020-07-17 13:45:02,42255.3603,-155.5428,0,0,2020-07-17
30,2020-07-18 11:50:54,42255.2456,-155.8628,0,0,2020-07-18
31,2020-07-19 14:12:19,42255.1069,-158.0538,0,0,2020-07-19
32,2020-07-20 11:53:01,42254.9905,-158.1892,0,0,2020-07-20
33,2020-07-20 14:09:06,42254.9793,-159.1869,0,0,2020-07-20
34,2020-07-21 06:54:59,42254.8899,-159.7535,0,0,2020-07-21
35,2020-07-21 14:03:34,42254.8522,-160.3015,0,0,2020-07-21
36,2020-07-22 14:17:37,42254.7293,-161.5509,0,0,2020-07-22
37,2020-07-23 13:37:42,42254.6095,-162.4126,0,0,2020-07-23
38,2020-07-25 10:42:05,42254.3835,-163.632,0,0,2020-07-25
39,2020-07-25 13:27:00,42254.3705,-164.6259,0,0,2020-07-25
40,2020-07-26 13:43:41,42254.249,-165.8981,0,0,2020-07-26
41,2020-07-27 13:50:31,42254.1341,-167.0933,0,0,2020-07-27
42,2020-07-28 13:14:18,42254.0261,-167.9589,0,0,2020-07-28
43,2020-07-29 13:13:10,42253.921,-169.0918,0,0,2020-07-29
44,2020-07-30 13:12:10,42253.8164,-170.2242,0,0,2020-07-30
45,2020-07-30 14:49:13,42253.8088,-170.9124,0,0,2020-07-30
46,2020-07-31 13:11:09,42253.7119,-171.3549,0,0,2020-07-31
