序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 08:34:02,42169.4599,98.1767,0,0,2020-07-01
2,2020-07-01 19:31:42,42169.5138,99.0795,0,0,2020-07-01
3,2020-07-02 07:28:42,42169.5744,98.4053,0,0,2020-07-02
4,2020-07-02 19:01:43,42169.6338,99.0948,0,0,2020-07-02
5,2020-07-03 19:08:51,42169.7541,98.9979,0,0,2020-07-03
6,2020-07-04 07:12:11,42169.8169,98.3234,0,0,2020-07-04
7,2020-07-04 19:15:53,42169.875,98.8992,0,0,2020-07-04
8,2020-07-05 07:19:18,42169.9355,98.1992,0,0,2020-07-05
9,2020-07-05 19:23:01,42170.0012,98.7976,0,0,2020-07-05
10,2020-07-06 07:26:22,42170.0586,98.0741,0,0,2020-07-06
11,2020-07-06 19:30:09,42170.1223,98.6954,0,0,2020-07-06
12,2020-07-07 08:07:42,42170.1868,97.7935,0,0,2020-07-07
13,2020-07-07 19:37:15,42170.244,98.5922,0,0,2020-07-07
14,2020-07-08 07:40:35,42170.3004,97.8255,0,0,2020-07-08
15,2020-07-08 19:44:26,42170.3618,98.4884,0,0,2020-07-08
16,2020-07-09 07:47:43,42170.4184,97.7029,0,0,2020-07-09
17,2020-07-09 19:51:34,42170.4784,98.3845,0,0,2020-07-09
18,2020-07-10 19:58:43,42170.5923,98.2811,0,0,2020-07-10
19,2020-07-11 19:38:42,42170.7076,98.2467,0,0,2020-07-11
20,2020-07-12 18:26:34,42170.8166,98.3704,0,0,2020-07-12
21,2020-07-13 07:06:42,42170.8755,97.5183,0,0,2020-07-13
22,2020-07-13 18:48:42,42170.9302,98.213,0,0,2020-07-13
23,2020-07-14 18:43:47,42171.0444,98.1347,0,0,2020-07-14
24,2020-07-15 18:33:42,42171.154,98.0714,0,0,2020-07-15
25,2020-07-16 06:54:17,42171.2154,97.2774,0,0,2020-07-16
26,2020-07-16 17:14:48,42171.2631,98.1882,0,0,2020-07-16
27,2020-07-17 19:05:09,42171.3851,97.7846,0,0,2020-07-17
28,2020-07-18 17:29:00,42171.488,97.9656,0,0,2020-07-18
29,2020-07-19 07:15:40,42171.5438,96.8664,0,0,2020-07-19
30,2020-07-19 18:32:42,42171.5957,97.6844,0,0,2020-07-19
31,2020-07-20 18:16:15,42171.7073,97.6331,0,0,2020-07-20
32,2020-07-21 17:27:42,42171.8103,97.6721,0,0,2020-07-21
33,2020-07-22 17:36:42,42171.9163,97.5456,0,0,2020-07-22
34,2020-07-23 18:04:39,42172.0259,97.3591,0,0,2020-07-23
35,2020-07-24 17:51:42,42172.1356,97.2918,0,0,2020-07-24
36,2020-07-25 18:18:52,42172.243,97.1032,0,0,2020-07-25
37,2020-07-26 18:25:57,42172.3552,96.9733,0,0,2020-07-26
38,2020-07-27 19:59:50,42172.4699,96.6599,0,0,2020-07-27
39,2020-07-28 16:56:53,42172.5658,97.0109,0,0,2020-07-28
40,2020-07-29 18:47:18,42172.6842,96.5828,0,0,2020-07-29
41,2020-07-30 17:34:42,42172.7896,96.6781,0,0,2020-07-30
42,2020-07-31 11:47:59,42172.8684,96.1585,0,0,2020-07-31
43,2020-07-31 17:19:48,42172.894,96.6073,0,0,2020-07-31
44,2020-08-01 17:42:42,42173.0062,96.4217,0,0,2020-08-01
45,2020-08-02 18:34:31,42173.1245,96.1562,0,0,2020-08-02
46,2020-08-03 18:50:06,42173.2328,96.0015,0,0,2020-08-03
47,2020-08-04 18:58:54,42173.3427,95.8649,0,0,2020-08-04
48,2020-08-05 17:53:34,42173.4437,95.9064,0,0,2020-08-05
49,2020-08-06 17:35:42,42173.5438,95.835,0,0,2020-08-06
50,2020-08-07 18:07:51,42173.6485,95.6188,0,0,2020-08-07
51,2020-08-08 18:14:56,42173.7531,95.475,0,0,2020-08-08
52,2020-08-09 16:38:43,42173.8465,95.6238,0,0,2020-08-09
53,2020-08-10 16:46:42,42173.9503,95.4709,0,0,2020-08-10
54,2020-08-10 19:09:21,42173.9609,95.1216,0,0,2020-08-10
55,2020-08-11 16:52:53,42174.0512,95.3216,0,0,2020-08-11
56,2020-08-12 17:00:02,42174.1494,95.1687,0,0,2020-08-12
57,2020-08-13 16:38:42,42174.2465,95.0993,0,0,2020-08-13
58,2020-08-13 18:49:50,42174.258,94.769,0,0,2020-08-13
59,2020-08-14 17:14:17,42174.3452,94.8595,0,0,2020-08-14
60,2020-08-15 16:43:42,42174.4372,94.8157,0,0,2020-08-15
61,2020-08-16 18:31:12,42174.546,94.4076,0,0,2020-08-16
62,2020-08-17 15:52:17,42174.6319,94.6888,0,0,2020-08-17
63,2020-08-18 17:42:23,42174.7368,94.2387,0,0,2020-08-18
64,2020-08-19 17:22:42,42174.8257,94.1508,0,0,2020-08-19
65,2020-08-22 16:27:45,42175.1045,93.8843,0,0,2020-08-22
66,2020-08-23 21:30:53,42175.2198,93.6792,0,0,2020-08-23
67,2020-08-24 16:41:57,42175.2939,93.5526,0,0,2020-08-24
68,2020-08-24 21:38:55,42175.3155,93.5744,0,0,2020-08-24
69,2020-08-25 03:02:00,42175.3348,93.292,0,0,2020-08-25
70,2020-08-25 16:49:04,42175.3878,93.3856,0,0,2020-08-25
71,2020-08-25 23:22:19,42175.4153,93.667,0,0,2020-08-25
72,2020-08-26 22:07:03,42175.5073,93.3915,0,0,2020-08-26
73,2020-08-26 23:39:33,42175.5132,93.5445,0,0,2020-08-26
74,2020-08-27 17:03:12,42175.5819,93.0515,0,0,2020-08-27
75,2020-08-27 22:45:10,42175.6038,93.344,0,0,2020-08-27
76,2020-08-28 21:16:58,42175.6933,92.9975,0,0,2020-08-28
77,2020-08-29 00:16:04,42175.7023,93.2535,0,0,2020-08-29
78,2020-08-29 18:15:56,42175.7733,92.627,0,0,2020-08-29
79,2020-08-30 15:41:17,42175.8599,92.8308,0,0,2020-08-30
80,2020-08-31 15:48:21,42175.955,92.6551,0,0,2020-08-31
81,2020-09-01 21:08:01,42176.0717,92.4333,0,0,2020-09-01
82,2020-09-02 02:15:12,42176.0911,92.2533,0,0,2020-09-02
83,2020-09-02 21:13:41,42176.1556,92.3117,0,0,2020-09-02
84,2020-09-03 14:26:19,42176.2171,92.4041,0,0,2020-09-03
85,2020-09-04 02:29:42,42176.2628,91.8491,0,0,2020-09-04
86,2020-09-04 20:27:16,42176.3262,91.9102,0,0,2020-09-04
87,2020-09-05 16:23:51,42176.396,91.7654,0,0,2020-09-05
88,2020-09-06 02:43:55,42176.4353,91.4355,0,0,2020-09-06
89,2020-09-06 14:47:37,42176.4768,91.8779,0,0,2020-09-06
90,2020-09-07 14:54:45,42176.5607,91.6971,0,0,2020-09-07
91,2020-09-08 02:58:07,42176.598,91.0164,0,0,2020-09-08
92,2020-09-09 15:08:56,42176.7192,91.3305,0,0,2020-09-09
93,2020-09-10 03:12:00,42176.7632,90.5946,0,0,2020-09-10
94,2020-09-10 15:15:56,42176.8045,91.1442,0,0,2020-09-10
95,2020-09-11 03:32:42,42176.8435,90.3126,0,0,2020-09-11
96,2020-09-11 20:58:18,42176.9083,90.9774,0,0,2020-09-11
97,2020-09-12 01:43:11,42176.9237,90.7187,0,0,2020-09-12
98,2020-09-12 17:46:20,42176.9686,90.5096,0,0,2020-09-12
99,2020-09-13 01:42:10,42176.9967,90.5496,0,0,2020-09-13
100,2020-09-13 20:00:15,42177.0573,90.5284,0,0,2020-09-13
101,2020-09-14 01:57:04,42177.0777,90.2962,0,0,2020-09-14
102,2020-09-14 15:44:09,42177.119,90.3939,0,0,2020-09-14
103,2020-09-15 02:04:16,42177.1518,90.0805,0,0,2020-09-15
104,2020-09-15 20:39:40,42177.2085,90.3301,0,0,2020-09-15
105,2020-09-16 03:28:42,42177.2267,89.4543,0,0,2020-09-16
106,2020-09-16 20:58:15,42177.282,90.2249,0,0,2020-09-16
107,2020-09-17 02:56:42,42177.3008,89.4381,0,0,2020-09-17
108,2020-09-17 14:22:02,42177.3336,90.1187,0,0,2020-09-17
109,2020-09-17 21:08:37,42177.3577,90.0949,0,0,2020-09-17
110,2020-09-18 19:59:31,42177.4309,89.7658,0,0,2020-09-18
111,2020-09-19 00:25:38,42177.4461,89.8325,0,0,2020-09-19
112,2020-09-19 20:11:29,42177.5072,89.6421,0,0,2020-09-19
113,2020-09-20 03:16:42,42177.5294,88.794,0,0,2020-09-20
114,2020-09-20 14:43:15,42177.558,89.5385,0,0,2020-09-20
115,2020-09-21 14:50:20,42177.6335,89.3425,0,0,2020-09-21
116,2020-09-21 23:47:21,42177.6677,89.43,0,0,2020-09-21
117,2020-09-22 13:14:08,42177.7,89.4144,0,0,2020-09-22
118,2020-09-22 21:23:29,42177.7272,89.3335,0,0,2020-09-22
119,2020-09-23 13:21:18,42177.776,89.2259,0,0,2020-09-23
120,2020-09-23 15:04:34,42177.7827,88.9487,0,0,2020-09-23
121,2020-09-24 13:28:23,42177.8512,89.0342,0,0,2020-09-24
122,2020-09-25 01:31:44,42177.8908,88.4277,0,0,2020-09-25
123,2020-09-25 15:18:41,42177.9345,88.5539,0,0,2020-09-25
124,2020-09-26 01:38:52,42177.9657,88.2008,0,0,2020-09-26
125,2020-09-26 15:25:49,42178.0103,88.3565,0,0,2020-09-26
126,2020-09-27 12:03:05,42178.0692,88.6232,0,0,2020-09-27
127,2020-09-27 13:49:32,42178.0737,88.4433,0,0,2020-09-27
128,2020-09-28 01:40:42,42178.1124,87.811,0,0,2020-09-28
129,2020-09-28 14:07:42,42178.1514,88.2098,0,0,2020-09-28
130,2020-09-29 02:00:05,42178.1795,87.5144,0,0,2020-09-29
131,2020-09-29 14:03:48,42178.2134,88.0388,0,0,2020-09-29
132,2020-09-30 01:33:42,42178.2479,87.4665,0,0,2020-09-30
133,2020-09-30 14:25:42,42178.2849,87.7915,0,0,2020-09-30
134,2020-10-01 13:18:42,42178.35,87.7916,0,0,2020-10-01
135,2020-10-02 02:21:12,42178.3868,86.8243,0,0,2020-10-02
136,2020-10-02 14:25:01,42178.4177,87.4225,0,0,2020-10-02
137,2020-10-03 02:28:01,42178.4513,86.5965,0,0,2020-10-03
138,2020-10-04 00:52:12,42178.5074,86.9142,0,0,2020-10-04
139,2020-10-04 13:36:42,42178.5405,87.1859,0,0,2020-10-04
140,2020-10-04 14:39:09,42178.5439,87.0097,0,0,2020-10-04
141,2020-10-05 14:07:27,42178.6031,86.9102,0,0,2020-10-05
142,2020-10-06 01:06:20,42178.6342,86.4441,0,0,2020-10-06
143,2020-10-06 14:53:17,42178.6631,86.5985,0,0,2020-10-06
144,2020-10-07 02:56:37,42178.6996,85.6933,0,0,2020-10-07
145,2020-10-07 13:17:03,42178.7198,86.6736,0,0,2020-10-07
146,2020-10-08 01:20:28,42178.7521,85.97,0,0,2020-10-08
147,2020-10-09 01:27:21,42178.8043,85.7339,0,0,2020-10-09
148,2020-10-09 13:31:02,42178.8284,86.2552,0,0,2020-10-09
149,2020-10-10 01:34:21,42178.857,85.4968,0,0,2020-10-10
150,2020-10-10 21:41:49,42178.91,86.2102,0,0,2020-10-10
151,2020-10-11 12:01:54,42178.9389,86.0823,0,0,2020-10-11
152,2020-10-11 21:57:53,42178.9634,86.0071,0,0,2020-10-11
153,2020-10-12 01:48:29,42178.9673,85.0223,0,0,2020-10-12
154,2020-10-12 13:52:18,42178.9872,85.6197,0,0,2020-10-12
155,2020-10-12 22:14:47,42179.0133,85.789,0,0,2020-10-12
156,2020-10-13 13:59:18,42179.045,85.4064,0,0,2020-10-13
157,2020-10-14 01:37:55,42179.0747,84.6744,0,0,2020-10-14
158,2020-10-14 21:20:25,42179.1165,85.4799,0,0,2020-10-14
159,2020-10-15 14:03:42,42179.1477,85.0072,0,0,2020-10-15
160,2020-10-16 12:33:27,42179.2016,85.0589,0,0,2020-10-16
161,2020-10-16 14:20:29,42179.2007,84.7701,0,0,2020-10-16
162,2020-10-17 00:40:33,42179.2243,84.3746,0,0,2020-10-17
163,2020-10-17 12:41:42,42179.2512,84.8428,0,0,2020-10-17
164,2020-10-18 00:47:37,42179.2709,84.1318,0,0,2020-10-18
165,2020-10-18 12:51:26,42179.2919,84.6221,0,0,2020-10-18
166,2020-10-19 00:54:42,42179.32,83.8881,0,0,2020-10-19
167,2020-10-19 19:38:31,42179.3626,84.4759,0,0,2020-10-19
168,2020-10-20 13:05:32,42179.4011,84.1871,0,0,2020-10-20
169,2020-10-21 01:51:42,42179.4294,83.1884,0,0,2020-10-21
170,2020-10-22 13:17:14,42179.499,83.7571,0,0,2020-10-22
171,2020-10-23 13:26:44,42179.5486,83.5312,0,0,2020-10-23
172,2020-10-24 01:30:00,42179.5775,82.6734,0,0,2020-10-24
173,2020-10-24 13:33:37,42179.5983,83.3125,0,0,2020-10-24
174,2020-10-25 11:57:37,42179.6395,83.3701,0,0,2020-10-25
175,2020-10-25 13:40:53,42179.6429,83.0938,0,0,2020-10-25
176,2020-10-26 13:47:55,42179.6861,82.8763,0,0,2020-10-26
177,2020-10-27 12:11:41,42179.7293,82.9326,0,0,2020-10-27
178,2020-10-28 01:04:42,42179.7515,81.9651,0,0,2020-10-28
179,2020-10-29 00:22:02,42179.7972,81.9783,0,0,2020-10-29
180,2020-10-29 12:25:46,42179.813,82.4883,0,0,2020-10-29
181,2020-10-29 15:05:37,42179.8169,82.1598,0,0,2020-10-29
