序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 02:51:43,42204.0189,-14.1451,0,0,2020-07-01
2,2020-07-02 07:30:22,42204.0394,-14.7934,0,0,2020-07-02
3,2020-07-03 03:05:44,42204.0543,-15.2132,0,0,2020-07-03
4,2020-07-03 15:09:21,42204.0644,-15.1018,0,0,2020-07-03
5,2020-07-04 03:12:37,42204.0756,-15.7453,0,0,2020-07-04
6,2020-07-04 15:16:22,42204.088,-15.6192,0,0,2020-07-04
7,2020-07-05 03:19:43,42204.0992,-16.2774,0,0,2020-07-05
8,2020-07-05 15:23:14,42204.1102,-16.1354,0,0,2020-07-05
9,2020-07-06 02:00:42,42204.1228,-16.517,0,0,2020-07-06
10,2020-07-07 03:33:39,42204.1498,-17.3367,0,0,2020-07-07
11,2020-07-08 02:40:57,42204.1765,-17.6883,0,0,2020-07-08
12,2020-07-09 02:57:42,42204.2057,-18.2561,0,0,2020-07-09
13,2020-07-10 01:54:01,42204.2378,-18.5452,0,0,2020-07-10
14,2020-07-10 02:46:42,42204.2372,-18.7336,0,0,2020-07-10
15,2020-07-11 07:50:47,42204.276,-19.2498,0,0,2020-07-11
16,2020-07-11 20:08:10,42204.2923,-18.9868,0,0,2020-07-11
17,2020-07-12 01:42:39,42204.3015,-19.5312,0,0,2020-07-12
18,2020-07-13 02:32:26,42204.3361,-20.2279,0,0,2020-07-13
19,2020-07-14 02:44:41,42204.3732,-20.7834,0,0,2020-07-14
20,2020-07-14 19:24:22,42204.3976,-20.5672,0,0,2020-07-14
21,2020-07-15 02:46:22,42204.4111,-21.3038,0,0,2020-07-15
22,2020-07-16 02:05:42,42204.4494,-21.6809,0,0,2020-07-16
23,2020-07-17 02:01:42,42204.4907,-22.1833,0,0,2020-07-17
24,2020-07-18 03:07:22,42204.5345,-22.912,0,0,2020-07-18
25,2020-07-19 03:14:21,42204.5797,-23.4458,0,0,2020-07-19
26,2020-07-20 02:50:42,42204.6244,-23.8979,0,0,2020-07-20
27,2020-07-21 01:29:42,42204.668,-24.1365,0,0,2020-07-21
28,2020-07-21 02:50:42,42204.6688,-24.4148,0,0,2020-07-21
29,2020-07-22 01:52:02,42204.7149,-24.7386,0,0,2020-07-22
30,2020-07-23 01:59:01,42204.7666,-25.2837,0,0,2020-07-23
