序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 10:09:35,42143.4637,70.8546,0,0,2020-07-01
2,2020-07-01 20:29:55,42143.4583,71.4636,0,0,2020-07-01
3,2020-07-02 10:16:45,42143.4474,71.0828,0,0,2020-07-02
4,2020-07-02 22:20:23,42143.4387,71.1754,0,0,2020-07-02
5,2020-07-03 21:04:59,42143.425,71.7857,0,0,2020-07-03
6,2020-07-04 22:02:35,42143.4077,71.7527,0,0,2020-07-04
7,2020-07-05 09:09:42,42143.4023,72.0895,0,0,2020-07-05
8,2020-07-05 20:58:45,42143.3956,72.3098,0,0,2020-07-05
9,2020-07-06 09:14:42,42143.3903,72.3217,0,0,2020-07-06
10,2020-07-06 13:44:33,42143.3892,72.2674,0,0,2020-07-06
11,2020-07-06 21:05:59,42143.3847,72.5196,0,0,2020-07-06
12,2020-07-07 21:13:14,42143.3715,72.7306,0,0,2020-07-07
13,2020-07-08 09:07:42,42143.3679,72.8533,0,0,2020-07-08
14,2020-07-08 19:37:17,42143.3637,73.4405,0,0,2020-07-08
15,2020-07-09 00:03:05,42143.362,72.521,0,0,2020-07-09
16,2020-07-09 19:44:24,42143.3545,73.6595,0,0,2020-07-09
17,2020-07-09 21:27:40,42143.3533,73.1565,0,0,2020-07-09
18,2020-07-10 19:47:45,42143.3433,73.8935,0,0,2020-07-10
19,2020-07-11 09:38:30,42143.3416,73.5052,0,0,2020-07-11
20,2020-07-11 19:58:52,42143.3393,74.0884,0,0,2020-07-11
21,2020-07-11 21:42:08,42143.3399,73.592,0,0,2020-07-11
22,2020-07-12 08:45:42,42143.3329,73.9484,0,0,2020-07-12
23,2020-07-12 16:49:16,42143.3312,74.777,0,0,2020-07-12
24,2020-07-13 20:13:15,42143.3262,74.5113,0,0,2020-07-13
25,2020-07-14 20:20:31,42143.322,74.7216,0,0,2020-07-14
26,2020-07-14 21:53:03,42143.3231,74.3099,0,0,2020-07-14
27,2020-07-15 20:01:42,42143.32,75.0629,0,0,2020-07-15
28,2020-07-17 08:19:42,42143.3181,75.3107,0,0,2020-07-17
29,2020-07-17 13:55:28,42143.3203,75.5845,0,0,2020-07-17
30,2020-07-17 18:58:52,42143.3189,75.8591,0,0,2020-07-17
31,2020-07-18 21:47:47,42143.3158,75.3529,0,0,2020-07-18
32,2020-07-19 20:28:29,42143.3127,75.9217,0,0,2020-07-19
33,2020-07-20 21:51:45,42143.3178,75.8616,0,0,2020-07-20
34,2020-07-21 17:51:32,42143.322,77.1288,0,0,2020-07-21
35,2020-07-21 19:49:33,42143.3253,76.6084,0,0,2020-07-21
36,2020-07-22 14:00:37,42143.3307,77.1012,0,0,2020-07-22
37,2020-07-22 19:35:00,42143.3315,76.929,0,0,2020-07-22
38,2020-07-22 20:36:43,42143.3315,76.6331,0,0,2020-07-22
39,2020-07-23 19:42:10,42143.3368,77.1408,0,0,2020-07-23
40,2020-07-24 21:42:24,42143.348,76.9294,0,0,2020-07-24
41,2020-07-25 22:17:02,42143.357,77.1549,0,0,2020-07-25
42,2020-07-26 20:51:44,42143.3701,77.5866,0,0,2020-07-26
43,2020-07-27 01:23:33,42143.3755,77.991,0,0,2020-07-27
44,2020-07-27 20:11:01,42143.3875,77.9987,0,0,2020-07-27
45,2020-07-28 18:35:00,42143.4032,78.7116,0,0,2020-07-28
46,2020-07-28 23:08:07,42143.4082,78.038,0,0,2020-07-28
47,2020-07-29 17:13:33,42143.4214,79.2996,0,0,2020-07-29
48,2020-07-29 20:20:32,42143.4273,78.4617,0,0,2020-07-29
49,2020-07-30 20:34:51,42143.4513,78.6631,0,0,2020-07-30
50,2020-07-31 00:45:55,42143.4533,78.995,0,0,2020-07-31
51,2020-07-31 19:11:10,42143.4726,79.2709,0,0,2020-07-31
52,2020-07-31 20:45:55,42143.4749,78.8853,0,0,2020-07-31
53,2020-08-01 21:48:11,42143.5045,79.0561,0,0,2020-08-01
54,2020-08-02 00:11:19,42143.5079,79.4223,0,0,2020-08-02
55,2020-08-02 18:32:42,42143.5289,79.9527,0,0,2020-08-02
56,2020-08-03 01:56:11,42143.5398,80.1919,0,0,2020-08-03
57,2020-08-03 19:18:07,42143.5605,79.975,0,0,2020-08-03
58,2020-08-03 20:51:22,42143.5631,79.6464,0,0,2020-08-03
59,2020-08-04 17:42:04,42143.5897,80.688,0,0,2020-08-04
60,2020-08-05 00:55:15,42143.5981,80.5096,0,0,2020-08-05
61,2020-08-05 19:23:51,42143.6202,80.4423,0,0,2020-08-05
62,2020-08-06 21:03:16,42143.6535,80.4139,0,0,2020-08-06
63,2020-08-07 06:26:42,42143.6658,81.0308,0,0,2020-08-07
64,2020-08-07 21:33:25,42143.6815,80.6757,0,0,2020-08-07
65,2020-08-08 06:21:42,42143.6932,81.2991,0,0,2020-08-08
66,2020-08-08 18:50:53,42143.7109,81.3285,0,0,2020-08-08
67,2020-08-09 13:51:45,42143.7431,82.2947,0,0,2020-08-09
68,2020-08-09 21:36:32,42143.752,81.2208,0,0,2020-08-09
69,2020-08-10 17:51:42,42143.7817,82.1025,0,0,2020-08-10
70,2020-08-11 16:49:15,42143.8198,82.639,0,0,2020-08-11
71,2020-08-11 22:29:38,42143.8318,81.8969,0,0,2020-08-11
72,2020-08-12 18:39:39,42143.8638,82.3514,0,0,2020-08-12
73,2020-08-13 18:46:54,42143.9035,82.5624,0,0,2020-08-13
74,2020-08-14 12:50:26,42143.9335,83.5015,0,0,2020-08-14
75,2020-08-14 17:46:44,42143.9391,83.0884,0,0,2020-08-14
76,2020-08-15 05:41:42,42143.9606,83.1753,0,0,2020-08-15
77,2020-08-15 17:43:42,42143.9786,83.3435,0,0,2020-08-15
78,2020-08-16 17:51:42,42144.0178,83.5439,0,0,2020-08-16
79,2020-08-17 12:12:41,42144.055,84.1992,0,0,2020-08-17
80,2020-08-17 17:31:53,42144.062,83.8807,0,0,2020-08-17
81,2020-08-17 19:42:28,42144.0659,83.376,0,0,2020-08-17
82,2020-08-18 17:39:45,42144.1082,84.0803,0,0,2020-08-18
83,2020-08-19 13:54:06,42144.1452,85.0316,0,0,2020-08-19
84,2020-08-19 17:37:28,42144.1527,84.3299,0,0,2020-08-19
85,2020-08-20 20:32:57,42144.2023,84.1239,0,0,2020-08-20
86,2020-08-20 23:37:53,42144.2107,84.7678,0,0,2020-08-20
87,2020-08-21 18:01:23,42144.2515,84.6947,0,0,2020-08-21
88,2020-08-21 22:24:25,42144.2577,84.7119,0,0,2020-08-21
89,2020-08-22 18:08:30,42144.3,84.9041,0,0,2020-08-22
90,2020-08-23 21:26:40,42144.3621,85.0479,0,0,2020-08-23
91,2020-08-24 21:34:22,42144.4142,85.352,0,0,2020-08-24
92,2020-08-24 23:22:10,42144.4187,85.8294,0,0,2020-08-24
93,2020-08-25 16:46:56,42144.4624,85.9946,0,0,2020-08-25
