序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 20:50:05,42144.0136,78.9354,0,0,2020-07-01
2,2020-07-02 22:30:07,42144.0346,78.7897,0,0,2020-07-02
3,2020-07-03 20:46:35,42144.0726,79.4326,0,0,2020-07-03
4,2020-07-04 19:10:29,42144.0973,80.0817,0,0,2020-07-04
5,2020-07-04 21:51:46,42144.099,79.4048,0,0,2020-07-04
6,2020-07-04 23:31:39,42144.1054,79.2056,0,0,2020-07-04
7,2020-07-05 20:16:43,42144.1275,80.0497,0,0,2020-07-05
8,2020-07-06 01:17:31,42144.134,79.6585,0,0,2020-07-06
9,2020-07-06 19:25:00,42144.1622,80.5143,0,0,2020-07-06
10,2020-07-07 00:35:46,42144.155,79.8167,0,0,2020-07-07
11,2020-07-07 21:15:22,42144.1891,80.2736,0,0,2020-07-07
12,2020-07-08 07:55:42,42144.2087,80.4465,0,0,2020-07-08
13,2020-07-08 20:06:42,42144.2224,80.8136,0,0,2020-07-08
14,2020-07-09 00:39:31,42144.2286,80.3738,0,0,2020-07-09
15,2020-07-09 19:46:32,42144.2538,81.1437,0,0,2020-07-09
16,2020-07-10 00:58:29,42144.2683,80.7068,0,0,2020-07-10
17,2020-07-10 19:55:42,42144.2913,81.34,0,0,2020-07-10
18,2020-07-11 01:17:57,42144.298,81.0541,0,0,2020-07-11
19,2020-07-11 22:18:31,42144.3179,81.0746,0,0,2020-07-11
20,2020-07-12 19:03:50,42144.3484,82.0467,0,0,2020-07-12
21,2020-07-12 20:08:09,42144.3571,81.7591,0,0,2020-07-12
22,2020-07-13 18:32:08,42144.3963,82.4091,0,0,2020-07-13
23,2020-07-14 20:22:39,42144.433,82.1693,0,0,2020-07-14
24,2020-07-14 23:24:31,42144.4302,81.8395,0,0,2020-07-14
25,2020-07-15 19:23:11,42144.4666,82.6722,0,0,2020-07-15
26,2020-07-15 19:45:13,42144.4711,82.5716,0,0,2020-07-15
27,2020-07-16 20:37:06,42144.5094,82.5863,0,0,2020-07-16
28,2020-07-17 07:47:42,42144.5271,82.6316,0,0,2020-07-17
29,2020-07-17 21:10:48,42144.5573,82.711,0,0,2020-07-17
30,2020-07-18 01:49:39,42144.5565,83.1207,0,0,2020-07-18
31,2020-07-18 18:48:04,42144.5943,83.534,0,0,2020-07-18
32,2020-07-19 19:01:42,42144.6402,83.7077,0,0,2020-07-19
33,2020-07-20 19:05:42,42144.6766,83.9246,0,0,2020-07-20
34,2020-07-20 20:07:33,42144.6808,83.6522,0,0,2020-07-20
35,2020-07-21 18:04:26,42144.7119,84.4246,0,0,2020-07-21
36,2020-07-21 19:04:42,42144.7124,84.1639,0,0,2020-07-21
37,2020-07-22 18:58:40,42144.7558,84.4247,0,0,2020-07-22
38,2020-07-23 18:01:00,42144.8051,84.9091,0,0,2020-07-23
39,2020-07-23 19:44:18,42144.8085,84.4548,0,0,2020-07-23
40,2020-07-24 13:48:13,42144.8505,85.1371,0,0,2020-07-24
41,2020-07-24 19:51:29,42144.8645,84.6584,0,0,2020-07-24
42,2020-07-25 00:49:55,42144.874,84.8085,0,0,2020-07-25
43,2020-07-25 18:15:29,42144.9115,85.3129,0,0,2020-07-25
44,2020-07-25 21:07:48,42144.9135,84.6727,0,0,2020-07-25
45,2020-07-26 19:28:13,42144.9678,85.2197,0,0,2020-07-26
46,2020-07-27 01:23:44,42144.9824,85.4784,0,0,2020-07-27
47,2020-07-27 18:19:52,42145.0238,85.7538,0,0,2020-07-27
48,2020-07-27 19:37:02,42145.0246,85.4155,0,0,2020-07-27
49,2020-07-28 01:41:50,42145.0356,85.8073,0,0,2020-07-28
50,2020-07-28 20:03:17,42145.0792,85.5542,0,0,2020-07-28
51,2020-07-29 18:46:21,42145.1358,86.0923,0,0,2020-07-29
52,2020-07-29 22:49:39,42145.1436,85.7398,0,0,2020-07-29
