序号,时间,半长轴,星下点经度(°),异常值,控制状态,日期
1,2020-07-01 11:46:55,42136.9584,49.8037,0,0,2020-07-01
2,2020-07-01 22:07:10,42136.9108,50.1669,0,0,2020-07-01
3,2020-07-02 21:29:42,42136.8073,50.6286,0,0,2020-07-02
4,2020-07-03 22:21:38,42136.697,50.7918,0,0,2020-07-03
5,2020-07-04 22:28:58,42136.589,51.1071,0,0,2020-07-04
6,2020-07-05 21:25:05,42136.4888,51.6662,0,0,2020-07-05
7,2020-07-06 03:01:08,42136.4644,51.53,0,0,2020-07-06
8,2020-07-06 21:43:25,42136.3821,51.9472,0,0,2020-07-06
9,2020-07-07 21:07:27,42136.2775,52.4124,0,0,2020-07-07
10,2020-07-07 22:50:42,42136.271,52.0717,0,0,2020-07-07
11,2020-07-08 15:58:15,42136.1974,52.563,0,0,2020-07-08
12,2020-07-09 03:55:31,42136.1434,52.9541,0,0,2020-07-09
13,2020-07-09 11:01:34,42136.1157,52.6876,0,0,2020-07-09
14,2020-07-09 23:05:09,42136.0659,52.7345,0,0,2020-07-09
15,2020-07-10 20:49:35,42135.971,53.5119,0,0,2020-07-10
16,2020-07-10 23:55:54,42135.952,53.0172,0,0,2020-07-10
17,2020-07-11 21:07:30,42135.8638,53.8026,0,0,2020-07-11
18,2020-07-11 22:41:45,42135.8577,53.4999,0,0,2020-07-11
19,2020-07-13 02:02:21,42135.7449,53.9985,0,0,2020-07-13
20,2020-07-13 21:50:52,42135.6609,54.357,0,0,2020-07-13
21,2020-07-14 20:14:52,42135.5678,55.0296,0,0,2020-07-14
22,2020-07-14 23:30:53,42135.5529,54.4969,0,0,2020-07-14
23,2020-07-15 14:47:00,42135.4883,55.0126,0,0,2020-07-15
24,2020-07-15 20:10:32,42135.4684,55.3989,0,0,2020-07-15
25,2020-07-16 20:29:18,42135.3682,55.6961,0,0,2020-07-16
26,2020-07-16 22:12:34,42135.3646,55.3617,0,0,2020-07-16
27,2020-07-17 18:15:25,42135.2829,56.3369,0,0,2020-07-17
28,2020-07-17 20:55:57,42135.2739,55.9616,0,0,2020-07-17
29,2020-07-17 22:19:52,42135.268,55.7053,0,0,2020-07-17
30,2020-07-18 21:50:26,42135.1706,56.1453,0,0,2020-07-18
31,2020-07-19 02:08:24,42135.1522,56.4065,0,0,2020-07-19
32,2020-07-19 20:51:06,42135.0794,56.6963,0,0,2020-07-19
33,2020-07-20 00:40:31,42135.0567,56.4723,0,0,2020-07-20
34,2020-07-20 20:03:54,42134.9879,57.2173,0,0,2020-07-20
35,2020-07-21 02:51:34,42134.9613,57.424,0,0,2020-07-21
36,2020-07-22 00:48:34,42134.876,57.2888,0,0,2020-07-22
37,2020-07-22 19:43:42,42134.8108,58.009,0,0,2020-07-22
38,2020-07-22 23:52:42,42134.7934,57.5455,0,0,2020-07-22
39,2020-07-23 21:20:01,42134.7131,58.0574,0,0,2020-07-23
40,2020-07-24 03:42:02,42134.6902,58.8625,0,0,2020-07-24
41,2020-07-24 19:44:04,42134.6317,58.7396,0,0,2020-07-24
42,2020-07-25 00:57:17,42134.6126,58.5291,0,0,2020-07-25
43,2020-07-25 20:13:29,42134.5424,59.007,0,0,2020-07-25
44,2020-07-26 01:08:18,42134.5276,58.9824,0,0,2020-07-26
45,2020-07-26 19:31:26,42134.4669,59.516,0,0,2020-07-26
46,2020-07-27 00:08:51,42134.4523,59.1719,0,0,2020-07-27
47,2020-07-27 20:05:44,42134.386,59.7686,0,0,2020-07-27
48,2020-07-28 20:06:31,42134.3101,60.1354,0,0,2020-07-28
49,2020-07-28 23:00:43,42134.2992,59.8372,0,0,2020-07-28
50,2020-07-29 15:50:40,42134.2449,60.8526,0,0,2020-07-29
51,2020-07-30 00:53:19,42134.2147,60.5654,0,0,2020-07-30
52,2020-07-31 01:11:36,42134.1417,61.0645,0,0,2020-07-31
53,2020-07-31 21:00:51,42134.0905,61.0936,0,0,2020-07-31
54,2020-08-01 01:20:21,42134.0787,61.5226,0,0,2020-08-01
55,2020-08-01 20:41:58,42134.0222,61.5193,0,0,2020-08-01
56,2020-08-02 00:06:43,42134.009,61.6157,0,0,2020-08-02
57,2020-08-03 02:01:48,42133.9405,62.5581,0,0,2020-08-03
58,2020-08-03 19:51:42,42133.896,62.4221,0,0,2020-08-03
59,2020-08-04 00:58:39,42133.882,62.676,0,0,2020-08-04
60,2020-08-04 20:53:03,42133.828,62.6347,0,0,2020-08-04
61,2020-08-05 01:04:35,42133.8179,63.1254,0,0,2020-08-05
62,2020-08-05 20:50:38,42133.7698,63.0229,0,0,2020-08-05
63,2020-08-06 01:25:18,42133.7597,63.6458,0,0,2020-08-06
64,2020-08-06 20:44:18,42133.713,63.4195,0,0,2020-08-06
65,2020-08-07 17:58:48,42133.6621,64.2986,0,0,2020-08-07
66,2020-08-08 19:02:42,42133.6016,64.4694,0,0,2020-08-08
67,2020-08-09 19:03:42,42133.5431,64.845,0,0,2020-08-09
68,2020-08-10 20:03:49,42133.4821,65.0489,0,0,2020-08-10
69,2020-08-11 18:27:52,42133.4315,65.7266,0,0,2020-08-11
70,2020-08-12 18:35:00,42133.3795,66.0835,0,0,2020-08-12
71,2020-08-13 18:48:42,42133.3313,66.419,0,0,2020-08-13
72,2020-08-13 20:21:03,42133.3268,66.1822,0,0,2020-08-13
73,2020-08-15 02:31:31,42133.2605,67.6604,0,0,2020-08-15
74,2020-08-15 18:56:47,42133.2323,67.1611,0,0,2020-08-15
75,2020-08-16 19:04:01,42133.1897,67.525,0,0,2020-08-16
76,2020-08-17 06:02:42,42133.1702,68.0916,0,0,2020-08-17
77,2020-08-17 19:11:16,42133.1438,67.8929,0,0,2020-08-17
78,2020-08-17 23:50:20,42133.1321,68.3024,0,0,2020-08-17
79,2020-08-18 19:18:36,42133.0991,68.2646,0,0,2020-08-18
80,2020-08-19 18:09:51,42133.0577,68.8563,0,0,2020-08-19
81,2020-08-20 17:56:16,42133.0258,69.2874,0,0,2020-08-20
82,2020-08-21 20:59:23,42132.9869,69.4045,0,0,2020-08-21
83,2020-08-22 17:52:42,42132.9609,70.0732,0,0,2020-08-22
84,2020-08-22 19:42:56,42132.9623,69.8023,0,0,2020-08-22
85,2020-08-23 16:28:15,42132.9382,70.7332,0,0,2020-08-23
86,2020-08-24 12:46:42,42132.9192,71.1102,0,0,2020-08-24
