Timestamp,Value,Category
2020/12/4 4:54,42164.7323,0
2020/12/5 6:45,42164.857,0
2020/12/6 13:26,42164.996,0
2020/12/7 14:37,42165.1146,0
2020/12/8 21:59,42165.2688,0
2020/12/9 20:57,42165.3838,0
2020/12/10 13:54,42165.462,0
2020/12/11 14:52,42165.5775,0
2020/12/12 21:58,42165.7858,0
2020/12/13 20:32,42165.9251,0
2020/12/14 13:09,42166.0146,0
2020/12/15 15:19,42166.1915,0
2020/12/16 14:20,42166.3179,3
2020/12/17 15:16,42166.4354,3
2020/12/18 4:50,42166.4959,3
2020/12/19 19:22,42164.6703,3
2020/12/21 22:25,42163.5285,3
2020/12/22 14:00,42163.5779,3
2020/12/23 14:43,42163.6723,0
2020/12/24 12:56,42163.7595,0
2020/12/25 14:40,42163.8621,0
2020/12/26 21:17,42163.9857,0
2020/12/27 14:33,42164.0561,0
2020/12/28 6:01,42164.1304,0
2020/12/29 14:57,42164.2689,0
2020/12/30 13:09,42164.3695,0
2020/12/31 14:59,42164.4867,0
2021/1/1 22:00,42164.6319,0
2021/1/2 11:47,42164.6972,0
2021/1/3 14:58,42164.8287,0
2021/1/4 14:15,42164.9551,0
2021/1/5 13:52,42165.0793,0
2021/1/6 12:15,42165.2055,0
2021/1/7 22:43,42165.3944,0
2021/1/8 3:53,42165.4185,0
2021/1/9 4:00,42165.5567,0
2021/1/10 15:45,42165.7726,0
2021/1/11 15:39,42165.9103,0
2021/1/12 13:49,42166.0345,3
2021/1/13 14:48,42166.1578,3
2021/1/14 9:45,42166.2425,3
2021/1/15 13:19,42164.5556,3
2021/1/16 20:19,42164.1531,3
2021/1/17 22:10,42163.8826,3
2021/1/18 20:57,42163.9513,0
2021/1/19 13:47,42164.0034,0
2021/1/20 14:07,42164.1023,0
2021/1/21 14:02,42164.1862,0
2021/1/22 14:09,42164.2761,0
2021/1/23 14:16,42164.3687,0
2021/1/24 14:27,42164.4699,0
2021/1/25 15:50,42164.5882,0
2021/1/26 19:47,42164.7048,0
2021/1/27 14:57,42164.7883,0
2021/1/28 13:08,42164.8895,0
2021/1/29 20:08,42165.0308,0
2021/1/30 13:34,42165.0967,0
2021/1/31 20:22,42165.243,0
2021/2/1 13:36,42165.3241,0
2021/2/2 11:14,42165.4317,0
2021/2/3 22:27,42165.6131,0
2021/2/4 22:34,42165.739,0
2021/2/5 20:58,42165.857,0
2021/2/6 6:38,42165.9049,0
2021/2/7 5:24,42166.0333,0
2021/2/8 13:58,42166.2273,3
2021/2/9 23:09,42166.3162,3
2021/2/10 16:23,42165.774,3
2021/2/11 21:18,42163.6185,3
2021/2/12 18:21,42163.6236,3
2021/2/13 13:18,42163.6866,3
2021/2/14 20:18,42163.7727,0
2021/2/15 20:25,42163.877,0
2021/2/16 13:39,42163.9462,0
2021/2/17 5:09,42164.0205,0
2021/2/18 13:53,42164.1424,0
2021/2/19 15:02,42164.2419,0
2021/2/20 13:17,42164.326,0
2021/2/21 17:41,42164.4502,0
2021/2/22 21:15,42164.5399,0
2021/2/23 12:45,42164.5991,0
2021/2/24 11:09,42164.7087,0
2021/2/25 19:53,42164.8598,0
2021/2/26 16:33,42164.9565,0
2021/2/27 18:23,42165.0737,0
2021/2/28 17:03,42165.1788,0
2021/3/1 16:39,42165.2907,0
2021/3/2 15:18,42165.3941,0
2021/3/5 20:00,42165.811,0
2021/3/6 8:53,42165.8842,0
2021/3/7 21:03,42166.0675,0
2021/3/8 21:11,42166.2077,0
2021/3/9 21:18,42166.3274,3
2021/3/10 8:31,42166.3824,3
2021/3/11 21:32,42166.5534,3
2021/3/13 13:09,42164.2232,3
2021/3/14 13:16,42163.2961,3
2021/3/15 22:00,42163.4226,3
2021/3/16 17:10,42163.4918,0
2021/3/17 15:21,42163.5779,0
2021/3/18 12:01,42163.6527,0
2021/3/19 17:11,42163.7791,0
2021/3/20 13:58,42163.8702,0
2021/3/21 14:05,42163.9801,0
2021/3/22 20:52,42164.1183,0
2021/3/23 13:01,42164.1918,0
2021/3/24 12:14,42164.2977,0
2021/3/25 19:44,42164.4429,0
2021/3/26 20:15,42164.566,0
2021/3/27 11:21,42164.6364,0
2021/3/28 13:12,42164.7631,0
2021/3/29 20:12,42164.9131,0
2021/3/30 20:19,42165.0291,0
2021/3/31 20:26,42165.1572,0
2021/4/1 20:33,42165.2884,0
2021/4/2 20:40,42165.4278,0
2021/4/3 15:20,42165.5279,0
2021/4/4 15:08,42165.6501,0
2021/4/5 12:25,42165.7712,0
2021/4/6 12:32,42165.8923,3
2021/4/7 21:16,42165.9072,3
2021/4/8 10:26,42165.9417,3
2021/4/9 17:32,42163.4826,3
2021/4/10 21:37,42163.5624,3
